date,daily_return,Indexed
2020-06-05,0.04536632650228237,0.8878439635929547
2020-06-08,-0.0036690275847128416,0.8845864395996114
2020-06-09,-0.014500012356143595,0.8717599252953399
2020-06-10,-0.011157146708829105,0.8620335719139419
2020-06-11,-0.051683033061513006,0.8174810623165795
2020-06-12,0.0036750013641825537,0.8204853063357863
2020-06-15,-0.007392322826014988,0.8144200140773504
2020-06-16,0.032802760712991264,0.8411352389190008
2020-06-17,0.005977699160307947,0.8461632923303923
2020-06-18,-0.004522345589588287,0.8423366494972505
2020-06-19,0.002176821122044348,0.8441702657077481
2020-06-22,-0.008295540662900591,0.8371674169421579
2020-06-23,0.020312942278107735,0.8541727503596165
2020-06-24,-0.03455757441720107,0.8246546119739188
2020-06-25,0.006546147102220265,0.8300529223724245
2020-06-26,-0.006970675671044416,0.8242668926607637
